invoice_number,invoice_date,customer_id,customer_name,product_code,product_name,quantity,unit_of_issue,unit_price,vat,total
INV-230841,2024-06-26,C34908,"TASTE PIZZA (WHITBURN)",C0002,"FFS 70/30 Mozz Ched (Grated)  6x1.8kg",4,CASE,44.99,0.00,44.99
INV-230841,2024-06-26,C34908,"TASTE PIZZA (WHITBURN)",C0042,"(PACK) GRATED RED CHEDDAR 2KG",1,PACK,11.99,0.00,11.99
INV-230841,2024-06-26,C34908,"TASTE PIZZA (WHITBURN)",C2025,"FRESH MUSHROOM 1.2KG",1,TRAY,3.50,0.00,3.50
INV-230841,2024-06-26,C34908,"TASTE PIZZA (WHITBURN)",F0005,"Super Crunch Chips 12mm  7/16  4x2.25Kg",10,CASE,14.99,0.00,14.99
INV-230841,2024-06-26,C34908,"TASTE PIZZA (WHITBURN)",F0301,"LEDUC BREADED MOZZARELLA STICKS 6X1KG",1,CASE,37.99,0.00,37.99
INV-230841,2024-06-26,C34908,"TASTE PIZZA (WHITBURN)",F0315,"MCCAIN CHILLI PEPPER  CHEESE NUGGETS 6X1KG",1,CASE,44.99,0.00,44.99
INV-230841,2024-06-26,C34908,"TASTE PIZZA (WHITBURN)",F3210,"SUPERTOPS PEPPERONI SLICE 1KG",6,PACK,9.99,0.00,9.99
INV-231313,2024-06-28,C34908,"TASTE PIZZA (WHITBURN)",B02004,"6x 2ltr  IRN BRU BOTTLES",1,CASE,9.99,2.00,11.99
INV-231313,2024-06-28,C34908,"TASTE PIZZA (WHITBURN)",N1209,"SATCO T1100 ROUND MICRO CLEAR BOWL +LIDS 1",1,CASE,19.99,4.00,23.99
INV-231313,2024-06-28,C34908,"TASTE PIZZA (WHITBURN)",N3006,"9""  F/COLOUR PIZZA BOXES 90PCS",3,CASE,8.99,1.80,10.79
INV-231313,2024-06-28,C34908,"TASTE PIZZA (WHITBURN)",C0014,"80/20 Premium Izzimo Mozz (Grated) 6x1.8g",4,CASE,39.99,0.00,39.99
INV-231313,2024-06-28,C34908,"TASTE PIZZA (WHITBURN)",F0005,"Super Crunch Chips 12mm  7/16  4x2.25Kg",2,CASE,14.99,0.00,14.99
INV-231313,2024-06-28,C34908,"TASTE PIZZA (WHITBURN)",F0301,"LEDUC BREADED MOZZARELLA STICKS 6X1KG",1,CASE,37.99,0.00,37.99
INV-231313,2024-06-28,C34908,"TASTE PIZZA (WHITBURN)",F0315,"MCCAIN CHILLI PEPPER  CHEESE NUGGETS 6X1KG",1,CASE,44.99,0.00,44.99
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",B01001,"EU COCA COLA CANS   24xX330ml",1,CASE,8.99,1.80,10.79
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",B01004,"Irn Bru Cans-24x330ml",1,CASE,9.49,1.90,11.39
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",B01008,"Fanta Orange Cans (GB) 24x330ml",1,CASE,8.95,1.79,10.74
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",B01010,"Sprite Cans -(GB)-24x330ml",1,CASE,8.95,1.79,10.74
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",B01027,"Pepsi Regular Cola Cans (GB) 24x330ml",1,CASE,8.99,1.80,10.79
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",B02001,"6x 1.5 ltr Coca Cola Bottles",1,CASE,8.99,1.80,10.79
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",G0005,"KTC  RAPESEED OIL 20LTR",1,BOX,25.99,0.00,25.99
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",G2208,"SQ EASY  BBQ SAUCE 1LTR",6,BOTTLE,2.50,0.00,2.50
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",N3008,"10"" F/COLOUR  PIZZA BOXES 90PCS",2,CASE,10.99,2.20,13.19
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",N3017,"18""  F/COLOUR  PIZZA BOXES 50PCS",1,CASE,21.99,4.40,26.39
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",N6302,"BLUE CENTRE FEED ROLLS  6PCS",1,PACK,4.99,1.00,5.99
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",C0002,"FFS 70/30 Mozz Ched (Grated)  6x1.8kg",8,CASE,46.99,0.00,46.99
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",C0042,"(PACK) GRATED RED CHEDDAR 2KG",1,PACK,11.99,0.00,11.99
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",C2025,"FRESH MUSHROOM 1.2KG",1,TRAY,3.50,0.00,3.50
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",F0005,"Super Crunch Chips 12mm  7/16  4x2.25Kg",2,CASE,14.99,0.00,14.99
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",F3210,"SUPERTOPS PEPPERONI SLICE 1KG",12,PACK,9.39,0.00,9.39
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",F3210,"SUPERTOPS PEPPERONI SLICE 1KG",10,PACK,9.39,0.00,9.39
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",F3232,"ST DICED CHORIZO SAUSAGE 1KG",2,PACK,9.99,0.00,9.99
INV-231922,2024-07-03,C34908,"TASTE PIZZA (WHITBURN)",F3256,"GARLIC  PARSLEY SPREAD 1.5KG",1,EACH,9.99,0.00,9.99
INV-232393,2024-07-05,C34908,"TASTE PIZZA (WHITBURN)",B03003,"White Rock Still Water 24X500ML",1,CASE,3.99,80.00,4.79
INV-232393,2024-07-05,C34908,"TASTE PIZZA (WHITBURN)",N3010,"12"" F/COLOUR  PIZZA BOXES 90PCS",1,CASE,12.99,2.60,15.59
INV-232393,2024-07-05,C34908,"TASTE PIZZA (WHITBURN)",C0002,"FFS 70/30 Mozz Ched (Grated)  6x1.8kg",2,CASE,47.99,0.00,47.99
INV-232393,2024-07-05,C34908,"TASTE PIZZA (WHITBURN)",F0005,"Super Crunch Chips 12mm  7/16  4x2.25Kg",5,CASE,14.99,0.00,14.99
INV-232393,2024-07-05,C34908,"TASTE PIZZA (WHITBURN)",F0301,"LEDUC BREADED MOZZARELLA STICKS 6X1KG",1,CASE,37.99,0.00,37.99
INV-232393,2024-07-05,C34908,"TASTE PIZZA (WHITBURN)",F3205,"12mm SC DICED CHICKEN BREAST CUBES 2.5KG",3,PACK,13.99,0.00,13.99
INV-232393,2024-07-05,C34908,"TASTE PIZZA (WHITBURN)",F3210,"SUPERTOPS PEPPERONI SLICE 1KG",3,PACK,9.99,0.00,9.99
INV-232393,2024-07-05,C34908,"TASTE PIZZA (WHITBURN)",F3232,"ST DICED CHORIZO SAUSAGE 1KG",2,PACK,9.99,0.00,9.99
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",B02001,"6x 1.5 ltr Coca Cola Bottles",4,CASE,6.99,1.40,8.39
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",B02004,"6x 2ltr  IRN BRU BOTTLES",1,CASE,9.99,2.00,11.99
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",B03140,"GB Red Bull Original Energy Drink 24x250ML",1,CASE,19.99,4.00,23.99
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",G0005,"KTC  RAPESEED OIL 20LTR",1,BOX,25.99,0.00,25.99
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",N3008,"10"" F/COLOUR  PIZZA BOXES 90PCS",1,CASE,10.99,2.20,13.19
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",N3010,"12"" F/COLOUR  PIZZA BOXES 90PCS",2,CASE,12.99,2.60,15.59
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",N6302,"BLUE CENTRE FEED ROLLS  6PCS",1,PACK,4.99,1.00,5.99
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",C0002,"FFS 70/30 Mozz Ched (Grated)  6x1.8kg",8,CASE,47.99,0.00,47.99
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",C2025,"FRESH MUSHROOM 1.2KG",1,TRAY,3.50,0.00,3.50
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",F0005,"Super Crunch Chips 12mm  7/16  4x2.25Kg",4,CASE,14.99,0.00,14.99
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",F3205,"12mm SC DICED CHICKEN BREAST CUBES 2.5KG",4,PACK,12.99,0.00,12.99
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",F3216,"ST PIZZA MEATBALLS 1KG",2,PACK,9.99,0.00,9.99
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",F3232,"ST DICED CHORIZO SAUSAGE 1KG",1,PACK,9.99,0.00,9.99
INV-233005,2024-07-10,C34908,"TASTE PIZZA (WHITBURN)",F3256,"GARLIC  PARSLEY SPREAD 1.5KG",1,EACH,9.99,0.00,9.99
INV-233386,2024-07-12,C34908,"TASTE PIZZA (WHITBURN)",N3017,"18""  F/COLOUR  PIZZA BOXES 45PCS",2,CASE,21.99,4.40,26.39
INV-233386,2024-07-12,C34908,"TASTE PIZZA (WHITBURN)",N6302,"BLUE CENTRE FEED ROLLS  6PCS",1,PACK,6.99,1.40,8.39
INV-233386,2024-07-12,C34908,"TASTE PIZZA (WHITBURN)",C0002,"FFS 70/30 Mozz Ched (Grated)  6x1.8kg",2,CASE,47.99,0.00,47.99
INV-233386,2024-07-12,C34908,"TASTE PIZZA (WHITBURN)",F0005,"Super Crunch Chips 12mm  7/16  4x2.25Kg",4,CASE,14.99,0.00,14.99
INV-233386,2024-07-12,C34908,"TASTE PIZZA (WHITBURN)",F3205,"12mm SC DICED CHICKEN BREAST CUBES 2.5KG",2,PACK,13.99,0.00,13.99
INV-233386,2024-07-12,C34908,"TASTE PIZZA (WHITBURN)",F3210,"SUPERTOPS PEPPERONI SLICE 1KG",4,PACK,9.99,0.00,9.99
INV-233386,2024-07-12,C34908,"TASTE PIZZA (WHITBURN)",F3216,"ST PIZZA MEATBALLS 1KG",2,PACK,8.99,0.00,8.99
INV-233386,2024-07-12,C34908,"TASTE PIZZA (WHITBURN)",F3232,"ST DICED CHORIZO SAUSAGE 1KG",2,PACK,9.99,0.00,9.99
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",B01001,"EU COCA COLA CANS   24xX330ml",1,CASE,8.99,1.80,10.79
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",B02001,"6x 1.5 ltr Coca Cola Bottles",1,CASE,8.99,1.80,10.79
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",B02004,"6x 2ltr  IRN BRU BOTTLES",2,CASE,9.99,2.00,11.99
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",G3310,"(SMALL) SWEETCORN KERNALS 12X340G",1,CASE,8.99,0.00,8.99
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",G3314,"12x850g Pizza Cut Pineaple Peices",1,CASE,18.99,0.00,18.99
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",N3008,"10"" F/COLOUR  PIZZA BOXES 90PCS",1,CASE,10.99,2.20,13.19
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",N3010,"12"" F/COLOUR  PIZZA BOXES 90PCS",2,CASE,12.99,2.60,15.59
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",N6302,"BLUE CENTRE FEED ROLLS  6PCS",1,PACK,4.99,1.00,5.99
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",F0005,"Super Crunch Chips 12mm  7/16  4x2.25Kg",5,CASE,14.99,0.00,14.99
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",F0301,"LEDUC BREADED MOZZARELLA STICKS 6X1KG",1,CASE,37.99,0.00,37.99
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",F0315,"MCCAIN CHILLI PEPPER  CHEESE NUGGETS 6X1KG",1,CASE,44.99,0.00,44.99
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",F3205,"Thai 12mm SC Diced Chicken Delightf 2.5KG",4,PACK,12.99,0.00,12.99
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",F3216,"ST PIZZA MEATBALLS 1KG",4,PACK,9.99,0.00,9.99
INV-234050,2024-07-17,C34908,"TASTE PIZZA (WHITBURN)",F3232,"ST DICED CHORIZO SAUSAGE 1KG",1,PACK,9.99,0.00,9.99
INV-234442,2024-07-19,C34908,"TASTE PIZZA (WHITBURN)",G2208,"SQ EASY  BBQ SAUCE 1LTR",12,BOTTLE,2.29,0.00,2.29
INV-234442,2024-07-19,C34908,"TASTE PIZZA (WHITBURN)",G2213,"SQ EASY HOT STUFF SAUCE  LTR",12,BOTTLE,1.99,0.00,1.99
INV-234442,2024-07-19,C34908,"TASTE PIZZA (WHITBURN)",N1209,"SATCO T1100 ROUND MICRO CLEAR BOWL +LIDS 1",1,CASE,19.99,4.00,23.99
INV-234442,2024-07-19,C34908,"TASTE PIZZA (WHITBURN)",N6302,"BLUE CENTRE FEED ROLLS  6PCS",1,PACK,6.99,1.40,8.39
INV-234442,2024-07-19,C34908,"TASTE PIZZA (WHITBURN)",C0002,"FFS 70/30 Mozz Ched (Grated)  6x1.8kg",7,CASE,47.99,0.00,47.99
INV-234442,2024-07-19,C34908,"TASTE PIZZA (WHITBURN)",F0005,"Super Crunch Chips 12mm  7/16  4x2.25Kg",5,CASE,14.99,0.00,14.99
INV-234442,2024-07-19,C34908,"TASTE PIZZA (WHITBURN)",F2223,"SLICED DONER KEBAB MEAT  2.27Kg",1,TUB,10.99,0.00,10.99
INV-234442,2024-07-19,C34908,"TASTE PIZZA (WHITBURN)",F3015,"DF  Poppin Chicken Popcorn  1KG",6,PACK,6.99,0.00,6.99
INV-234442,2024-07-19,C34908,"TASTE PIZZA (WHITBURN)",F3205,"Pack 12mm  Delightful Diced Chicken 2.5KG",2,PACK,13.99,0.00,13.99
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",B01001,"EU COCA COLA CANS   24xX330ml",1,CASE,9.99,2.00,11.99
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",B01002,"Diet Coke Cans-(GB)-24x330ml",1,CASE,9.99,2.00,11.99
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",B01008,"Fanta Orange Cans (GB) 24x330ml",1,CASE,9.95,1.99,11.94
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",B02001,"6x 1.5 ltr Coca Cola Bottles",1,CASE,8.99,1.80,10.79
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",B02002,"6x 1.75 Ltr Diet Coke Bottles",1,CASE,10.99,2.20,13.19
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",B02006,"6x 2LTR DIET IRN BRU BOTTLES",1,CASE,9.99,2.00,11.99
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",G1034,"FRESH YEAST (BLOCK) 1KG",1,EACH,2.99,0.00,2.99
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",N3008,"10"" F/COLOUR  PIZZA BOXES 90PCS",2,CASE,11.99,2.40,14.39
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",N3010,"12"" F/COLOUR  PIZZA BOXES 90PCS",2,CASE,12.99,2.60,15.59
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",N3017,"18""  F/COLOUR  PIZZA BOXES 45PCS",2,CASE,21.99,4.40,26.39
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",N6302,"BLUE CENTRE FEED ROLLS  6PCS",3,PACK,4.99,1.00,5.99
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",C0002,"FFS 70/30 Mozz Ched (Grated)  6x1.8kg",7,CASE,47.99,0.00,47.99
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",C0042,"(PACK) GRATED RED CHEDDAR 2KG",1,PACK,11.99,0.00,11.99
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",F0005,"Super Crunch Chips 12mm  7/16  4x2.25Kg",7,CASE,14.99,0.00,14.99
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",F0301,"LEDUC BREADED MOZZARELLA STICKS 6X1KG",1,CASE,39.99,0.00,39.99
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",F2223,"SLICED DONER KEBAB MEAT  2.27Kg",1,TUB,10.99,0.00,10.99
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",F3216,"ST PIZZA MEATBALLS 1KG",2,PACK,8.99,0.00,8.99
INV-235052,2024-07-24,C34908,"TASTE PIZZA (WHITBURN)",F3256,"GARLIC  PARSLEY SPREAD 1.5KG",1,EACH,9.99,0.00,9.99
INV-235489,2024-07-26,C34908,"TASTE PIZZA (WHITBURN)",B01001,"EU COCA COLA CANS   24xX330ml",1,CASE,8.99,1.80,10.79
INV-235489,2024-07-26,C34908,"TASTE PIZZA (WHITBURN)",B02001,"6x 1.5 ltr Coca Cola Bottles",4,CASE,6.99,1.40,8.39
INV-235489,2024-07-26,C34908,"TASTE PIZZA (WHITBURN)",B03003,"White Rock Still Water 24X500ML",1,CASE,3.99,80.00,4.79
INV-235489,2024-07-26,C34908,"TASTE PIZZA (WHITBURN)",G0005,"KTC  RAPESEED OIL 20LTR",1,BOX,25.99,0.00,25.99
INV-235489,2024-07-26,C34908,"TASTE PIZZA (WHITBURN)",N3010,"12"" F/COLOUR  PIZZA BOXES 90PCS",1,CASE,12.99,2.60,15.59
INV-235489,2024-07-26,C34908,"TASTE PIZZA (WHITBURN)",N6302,"BLUE CENTRE FEED ROLLS  6PCS",1,PACK,4.99,1.00,5.99
INV-235489,2024-07-26,C34908,"TASTE PIZZA (WHITBURN)",C0002,"FFS 70/30 Mozz Ched (Grated)  6x1.8kg",3,CASE,47.99,0.00,47.99
INV-235489,2024-07-26,C34908,"TASTE PIZZA (WHITBURN)",C2025,"FRESH MUSHROOM 1.2KG",2,TRAY,3.50,0.00,3.50
INV-235489,2024-07-26,C34908,"TASTE PIZZA (WHITBURN)",F0005,"Super Crunch Chips 12mm  7/16  4x2.25Kg",10,CASE,12.99,0.00,12.99
INV-235489,2024-07-26,C34908,"TASTE PIZZA (WHITBURN)",F0301,"LEDUC BREADED MOZZARELLA STICKS 6X1KG",1,CASE,37.99,0.00,37.99
INV-235489,2024-07-26,C34908,"TASTE PIZZA (WHITBURN)",F3205,"Pack 12mm  Delightful Diced Chicken 2.5KG",2,PACK,13.99,0.00,13.99
INV-235489,2024-07-26,C34908,"TASTE PIZZA (WHITBURN)",F3210,"SUPERTOPS PEPPERONI SLICE 1KG",12,PACK,9.39,0.00,9.39
INV-235489,2024-07-26,C34908,"TASTE PIZZA (WHITBURN)",F3216,"ST PIZZA MEATBALLS 1KG",2,PACK,9.99,0.00,9.99
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",B01001,"EU COCA COLA CANS   24xX330ml",1,CASE,8.99,1.80,10.79
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",B01004,"Irn Bru Cans-24x330ml",1,CASE,9.49,1.90,11.39
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",B02004,"6x 2ltr  IRN BRU BOTTLES",1,CASE,9.99,2.00,11.99
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",G1034,"FRESH YEAST (BLOCK) 1KG",1,EACH,2.99,0.00,2.99
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",G3310,"(SMALL) SWEETCORN KERNALS 12X340G",1,CASE,8.99,0.00,8.99
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",G3314,"12x850g Pizza Cut Pineaple Peices",1,CASE,18.99,0.00,18.99
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",N3008,"10"" F/COLOUR  PIZZA BOXES 90PCS",1,CASE,10.99,2.20,13.19
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",N3010,"12"" F/COLOUR  PIZZA BOXES 90PCS",2,CASE,12.99,2.60,15.59
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",C0002,"FFS 70/30 Mozz Ched (Grated)  6x1.8kg",6,CASE,47.99,0.00,47.99
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",F0005,"Super Crunch Chips 12mm  7/16  4x2.25Kg",4,CASE,14.99,0.00,14.99
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",F2223,"SLICED DONER KEBAB MEAT  2.27Kg",1,TUB,10.99,0.00,10.99
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",F3015,"DF  Poppin Chicken Popcorn  1KG",1,PACK,6.99,0.00,6.99
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",F3205,"Pack 12mm  Delightful Diced Chicken 2.5KG",2,PACK,13.99,0.00,13.99
INV-236096,2024-07-31,C34908,"TASTE PIZZA (WHITBURN)",F3256,"GARLIC  PARSLEY SPREAD 1.5KG",2,EACH,9.99,0.00,9.99
INV-236484,2024-08-02,C34908,"TASTE PIZZA (WHITBURN)",B01008,"Fanta Orange Cans (GB) 24x330ml",1,CASE,8.95,1.79,10.74
INV-236484,2024-08-02,C34908,"TASTE PIZZA (WHITBURN)",N2006,"HP2 INFINITY MEDIUM EPP BOXES  (HB9)",1,CASE,18.99,3.80,22.79
INV-236484,2024-08-02,C34908,"TASTE PIZZA (WHITBURN)",N3017,"18""  F/COLOUR  PIZZA BOXES 45PCS",1,CASE,21.99,4.40,26.39
INV-236484,2024-08-02,C34908,"TASTE PIZZA (WHITBURN)",C0002,"FFS 70/30 Mozz Ched (Grated)  6x1.8kg",2,CASE,47.99,0.00,47.99
INV-236484,2024-08-02,C34908,"TASTE PIZZA (WHITBURN)",C0042,"(PACK) GRATED RED CHEDDAR 2KG",1,PACK,11.99,0.00,11.99
INV-236484,2024-08-02,C34908,"TASTE PIZZA (WHITBURN)",F0005,"Super Crunch Chips 12mm  7/16  4x2.25Kg",5,CASE,14.99,0.00,14.99
INV-236484,2024-08-02,C34908,"TASTE PIZZA (WHITBURN)",F0301,"LEDUC BREADED MOZZARELLA STICKS 6X1KG",1,CASE,37.99,0.00,37.99
INV-236484,2024-08-02,C34908,"TASTE PIZZA (WHITBURN)",F0315,"MCCAIN CHILLI PEPPER  CHEESE NUGGETS 6X1KG",1,CASE,44.99,0.00,44.99
